ID,text,cue,emotion,emotion,cause
32, أحببت الكتاب .. و [MASK]   بقراءته ... رائعة هي أحلام .. سيدة الأدب حقا,سعد,الفرح,Joy,رائعة هي أحلام .. سيدة الأدب حقا
33, أحست فيرونيكا ب [MASK]  ،فكل تعليمات حسن التصرف توصي بعدم التكلم عن الحب مباشرة,خوف,الخوف,Fear,كل تعليمات حسن التصرف توصي بعدم التكلم عن الحب مباشرة
34, أحسست ب [MASK]   لأانه في اجزاء كثيرة كنت أحس ان دموعي ستنزل حسرة على مروة,حزن,الحزن,Sadness,حسرة على مروة
35, أحمد مراد  [MASK]   كثيرا في تجسيده لشخصية محمود بهذه الصورة السيئة,غضب,الغضب,Anger,تجسيده لشخصية محمود بهذه الصورة السيئة
36, أحيانا  [MASK] نا أن نسمع غيرنا ينتقد بشكل لاذع نقدا يوافق ما يدور في أرواحنا حول هؤلاء,سعد,الفرح,Joy,أن نسمع غيرنا ينتقد بشكل لاذع نقدا يوافق ما يدور في أرواحنا
37, أحيانا شعرت أنني أمام كاتب مسلم .. مشتت فكره ويصب جام  [MASK]  ه على الدين التقليدي,غضب,الغضب,Anger,الدين التقليدي
38, أخي  [MASK]   حين تزجره المشرفة,خاف,الخوف,Fear,حين تزجره المشرفة
39, أذوي و أكبر شيئا فشيئا ف [MASK]   تكاليف الكبر,رعب,الخوف,Fear,تكاليف الكبر
40, أرأيت من الفشل [MASK]   أن ينجح؟,خاف,الخوف,Fear,الفشل
41, أرسلتهم المذنب من قبضتكم وسلطتم لجام  [MASK]  كم على عائلته منطق لا يفهمه عاقل ابدا,غضب,الغضب,Anger,المذنب
42, أريد أن اعلن  [MASK]   ورغبتي في القئ ، أريد أن اكون مثالي. في وسط هذا العالم القذر,اشمئزاز,الاشمئزاز,Disgust,العالم القذر
43, أشار على مواضع ضعف عدة في كتب التراث الديني الاسلامي .. والتي  [MASK]   حين يثيرها غيرنا باعتبارها نقد للاسلام,غضب,الغضب,Anger,مواضع ضعف عدة في كتب التراث الديني الاسلامي
44, أشعر ب [MASK]   إذ أن الواقع يلبي أحلامنا البريئة و يحقق رغباتنا,فرح,الفرح,Joy,الواقع يلبي أحلامنا البريئة و يحقق رغباتنا
45, أشعر ب [MASK]   بالغة لنجاح العمل يا صديقي,سعادة,الفرح,Joy,نجاح العمل
46, أشعر ب [MASK]   على تضييع وقتي على هذا السخافة لانها رواية مسيئة للأدب,حزن,الحزن,Sadness,تضييع وقتي على هذا السخافة لانها رواية مسيئة للأدب
47, أشعر ب [MASK]   على عدنان فهو الذي يتحمل أنانية مها وشعورها بأنها الضحية والمظلومة الوحيدة,حزن,الحزن,Sadness,هو الذي يتحمل أنانية مها وشعورها بأنها الضحية والمظلومة الوحيدة
48, أشعر ب [MASK]   عندما اعلم بان هناك اناس يعيشون بهذا الوضع المزري,حزن,الحزن,Sadness,هناك اناس يعيشون بهذا الوضع المزري
49, أشعر ب [MASK]   كثيرا على محاولات الظرافة حيال المنقبات والمصلين,حزن,الحزن,Sadness,محاولات الظرافة حيال المنقبات والمصلين
50, أشعر ب [MASK]   لأن هذه الرواية وصلت لقائمة البوكر الطويلة رغم وجود روايات تستحق أكثر منها,حزن,الحزن,Sadness,هذه الرواية وصلت لقائمة البوكر الطويلة رغم وجود روايات تستحق أكثر منها
51, أشعر ب [MASK]   من كل تلك الأكاذيب والشائعات التي تنتشر عني دون أي دليل أو مصداقية,الاشمئزاز,الاشمئزاز,Disgust,الأكاذيب والشائعات التي تنتشر عني دون أي دليل
52, أشعرنى بغصة و  [MASK]   أسرة عربية فقدت منزلها لترجع و تكون ضيفة ثقيلة فية,غضب,الغضب,Anger,أسرة عربية فقدت منزلها
53, أصابني  [MASK]   في بعض الفقرات وكأني أمام كتاب الجرائم,اشمئزاز,الاشمئزاز,Disgust,كأني أمام كتاب الجرائم
54, أعادتني طفلا تملأه  [MASK]   ان تجول بين هذه القصص,سعادة,الفرح,Joy,تجول بين هذه القصص
55, أعترف أن المعالجة  [MASK]   ، فقد إختلفت تماما عن الجو التقليدى للسير الذاتية,فاجأ,المفاجأة,Surprise,إختلفت تماما عن الجو التقليدى للسير الذاتية
56, أعتقد بأن الكاتبة بحاجة للتحمم من أفكارها ال [MASK]   لكي تدرك معنى الرسالة النظيف,قزز,الاشمئزاز,Disgust,بحاجة للتحمم من أفكارها
57, أعتقد بعد الضجة المثارة و التحفيز أنه سيقرأ عملا لم يقرأ مثله لكن [MASK]   أنها على عكس ما توقعته,فاجأ,المفاجأة,Surprise,على عكس ما توقعته
58, أعطتني الكاتبة أملا بأن البطلة لن تموت طالما لكني  [MASK]   أن الرواية قد انتهت,فجأة,المفاجأة,Surprise,الرواية قد انتهت
59, أعطوني مكان لسيارتي لما دخلت المواقف  [MASK]   بأنها مغلقة ولم أستطع الخروج,فاجأ,المفاجأة,Surprise,مغلقة ولم أستطع الخروج
60, أفسدت الرواية ال [MASK]   يومي فلتذهب للجحيم. لا انصح أبدا بقرائتها ..لا تضيع وقتك .. لا تلوث دماغك,قزز,الاشمئزاز,Disgust,لا تضيع وقتك .. لا تلوث دماغك
61, أقتني الرواية لأجل الاقتباسات التي كنت اقرأها منها، لكني قد  [MASK]   بكونها مبتذلة وتقليدية,فاجأ,المفاجأة,Surprise,ونها مبتذلة وتقليدية
62, أكثر ما  [MASK]   عليكم الأئمة المضلون,خاف,الخوف,Fear,الأئمة المضلون
63, أكثر ما  [MASK]   في هذه الرواية هو عقدة النهاية التي أدت إلي قتل البطل,غيظ,الغضب,Anger,قتل البطل
64, أكثر ما  [MASK]   كونها رواية واقعية وليست أحلام وردية,سعد,الفرح,Joy,رواية واقعية وليست أحلام وردية
65, أكثر ما  [MASK]   هو أنني طوال مدة القراءة كنت أتسأل ماذا يريد الكاتب ؟,أغاظ,الغضب,Anger,طوال مدة القراءة كنت أتسأل ماذا يريد الكاتب
66, أكثر ما  [MASK]   هو أني خرجت بكم هائل من الاقتباسات من الكتاب ,سعد,الفرح,Joy,خرجت بكم هائل من الاقتباسات
67, أكثر ما  [MASK]  ني على المعلمة انها لم تكن بين أخواتها حيث كانت تؤدي دورا على الأقل,حزن,الحزن,Sadness,لم تكن بين أخواتها
68, أكثر ما  [MASK]  ني عندما بدأ يتكلم عن الطرق التي إستعملتها فرنسا في تعذيب الجزائرين,حزن,الحزن,Sadness,الطرق التي إستعملتها فرنسا في تعذيب الجزائرين
69, أكثر ما أثار  [MASK]   كيف تفسد السياسية حتى الضحك,غضب,الغضب,Anger,كيف تفسد السياسية 
70, أكثر ما أثار  [MASK]  ي هو الجنح و النأي عن ذكر سيدنا خالد,غيظ,الغضب,Anger,الجنح و النأي عن ذكر سيدنا خالد
71, أكل جثة فلان ، والكلب أكل دماغ فلان ، وتم شي هذا الضابط الخائن.. عبارات  [MASK]   صراحة,قزز,الاشمئزاز,Disgust,أكل جثة فلان ، والكلب أكل دماغ فلان
72, أكملت هذه الرواية لمجرد أنني أن لا أهجر كتابا نصف مقروء، و هذا ما  [MASK]  ني أكثر,حزن,الحزن,Sadness,أكملت هذه الرواية لمجرد أنني أن لا أهجر كتابا نصف مقروء
73, أمر  [MASK]   أن إمرأة طاغية الجمال وحسنة الصفات لا تملك فرصا كثيرة لتحيا كما تريد ومع من تريد,حزن,الحزن,Sadness,إمرأة طاغية الجمال وحسنة الصفات لا تملك فرصا كثيرة لتحيا كما تريد
74, أمر  [MASK]   ان تنتشر مثل هذه الأعمال بين الأيدي الشابه التي تقرأ عن الفساد و انعدام الأخلاق كأمر عادي,حزن,الحزن,Sadness,تنتشر مثل هذه الأعمال بين الأيدي الشابه
75, أميرة  [MASK]  عند سماع الصراخ وأسرعت تفتح الباب,فزع,الخوف,Fear,عند سماع الصراخ
76, أن أرى كيف يكون الإقتناع التام بالإسلام كان ذاك ما  [MASK]  ,سعد,الفرح,Joy,أرى كيف يكون الإقتناع التام بالإسلام
77, أن تصدر من مثقف يستمع لرأيه الكثيرون كأحمد خالد توفيق فهو أمر يثير فعلا  [MASK]  ,غيظ,الغضب,Anger,تصدر من مثقف يستمع لرأيه الكثيرون
78, أن هارون الرشيد سمح للمسيحيين بزيارة بيت المقدس،  [MASK]   من جيوش شارلمان الفتاكة,خوف,الخوف,Fear,جيوش شارلمان الفتاكة
79, أنا  [MASK]   أكثر من طارق عندما علمت عن الغاء حفل الزفاف,فاجأ,المفاجأة,Surprise,الغاء حفل الزفاف
80, أنا  [MASK]   ان ريما هي البطلة الحقيقية للرواية وليست ندي,فاجأ,المفاجأة,Surprise,ريما هي البطلة الحقيقية للرواية وليست ندي
81, أنا  [MASK]   بشدة لأن موضوع مهم جدا كموضوع الكتاب كان يجب أن يسخر له قلم أرقى بكثير من قلم هذا الكاتب,غاضب,الغضب,Anger,موضوع الكتاب كان يجب أن يسخر له قلم أرقى بكثير
82, أنا  [MASK]   بها لأنها ستكون أول رواية أقرأها عن بلدي سوريا بعد الثورة,سعد,الفرح,Joy,أول رواية أقرأها عن بلدي سوريا بعد الثورة
83, أنا  [MASK]   على جرجار الذي انتظر كثيرا وما ان وصلت كاتيا التي انتظرها طويلا حتى مات هو,حزن,الحزن,Sadness,ما ان وصلت كاتيا التي انتظرها طويلا حتى مات هو
84, أنا  [MASK]   لاني وجدت كاتب عربي أعجبت بمبادئه,سعيد,الفرح,Joy,وجدت كاتب عربي أعجبت بمبادئه
85, أنا  [MASK]   لشرائها لأنها لم تكن بالمستوى الذي تخيلته كانت مجرد احداث تسرد و كأنها محفوظة,حزن,الحزن,Sadness,لم تكن بالمستوى الذي تخيلته
86, أنا  [MASK]   من الحياة أكثر، فهي الأكثر إيلاما,خاف,الخوف,Fear,هي الأكثر إيلاما
87, أنا أحس بمنتهى  [MASK]   لأن هذه الرواية السيئة هي التي مثلت مصر في البوكر على أي أساس تم إختيارها,حزن,الحزن,Sadness,هذه الرواية السيئة هي التي مثلت مصر في البوكر
88, أنه يحتاج إلى اعتصام بالله  [MASK]   منه,خاف,الخوف,Fear,حتاج إلى اعتصام بالله
89, أهم واجبات القائد في الحركة الجماهيرية طمس حقيقة الموت والقتل  [MASK]  ,رعب,الخوف,Fear,طمس حقيقة الموت والقتل
90, أوقفنا جندي الجوازات ساعة لأن مكان ميلاد والدي القدس أشتطت  [MASK]   حتى أني أردت أن أكلم السفارة,غضب,الغضب,Anger,أوقفنا جندي الجوازات ساعة
91, أي  [MASK]   طغى فتمخض شاعر بكلام نحسبه شعرا وهو الجمر في حلق من قرأ فوعى,حزن,الحزن,Sadness,حسبه شعرا وهو الجمر في حلق من قرأ فوعى
92, أيمكن لفئة أيا كان دخلها أن تعيش على القتل والدم ؟ الفكرة أثارت  [MASK]  ي,اشمئزاز,الاشمئزاز,Disgust,تعيش على القتل والدم
93, إختلف الحجز من القاهرة عند وصولنا لكن  [MASK]   أن مدير الإستقبال هو من تسبب في هذة المشكلة,فاجأ,المفاجأة,Surprise,مدير الإستقبال هو من تسبب في هذة المشكلة
94, إذا  [MASK]   الله على قومٍ، جعلهم ثمانية عشر  طائفة ليتخبطوا فيما بينهم ليلاً و نهاراً...,غضب,الغضب,Anger,يتخبطوا فيما بينهم ليلاً و نهار
95, إذا تكلمنا على شيء مر منذ سنوات نتكلم عنه وكأنه حدث الآن ف [MASK]   ونتضايق,غضب,الغضب,Anger,كلمنا على شيء مر منذ سنوات
96, إذا وجد يوما من الأيام بين هذه الأشواك وردة ناظره طار بها  [MASK]  ,سرور,الفرح,Joy,وجد يوما من الأيام بين هذه الأشواك وردة ناظره
97, إقامتي في هذا الفندق الفخم كانت استثنائية لقد شعرت ب [MASK]   منذ لحظة وصولي,سعادة,الفرح,Joy,إقامتي في هذا الفندق الفخم 
98, إلى الأن أشعر ب [MASK]    أن. هناك سجن ملىء بالمظلومين في منطقة ما  يحكمها فاسد في ظل رئيس فاسد,غضب,الغضب,Anger,هناك سجن ملىء بالمظلومين
99, إن  [MASK]  أن يدفع أي شخص كان إلى الجريمة,خوف,الخوف,Fear,يدفع أي شخص كان إلى الجريمة
100, ٍِِِإنا  [MASK]   يكبلني يا سيدي و أنا ألقي بالكتاب بعيدا على مرأى الجميع,حزن,الحزن,Sadness,ألقي بالكتاب بعيدا على مرأى الجميع
101, إن القليل الذي تحبه  [MASK]  ك أكثر من الكثير الذي لا تحبه,سعد,الفرح,Joy,القليل الذي تحبه
102, إن الكلمات لا تكفي للتعبير عن مدى  [MASK]  نا من كيفية التعامل مع طاقم غير كفؤ حيث شعرنا بأنه تم التغرير بنا,غضب,الغضب,Anger,كيفية التعامل مع طاقم غير كفؤ
103, إنتقد الكاتب الازهر كثيرا لكن  [MASK]   إن ما إنتقده هو ما يحول الأزهر إلي ما وصل اليه من التقدم,فاجأ,المفاجأة,Surprise,ما إنتقده هو ما يحول الأزهر إلي ما وصل اليه من التقدم
104, إنك طوال قرائتك للكتاب تشعر بالضيق و  [MASK]   على كل تلك الفلسفات المنقوصة المشوهة للإنسان,غضب,الغضب,Anger,الفلسفات المنقوصة المشوهة للإنسان
105, إنني  [MASK]    من أن أصبح ذات علم بالطبيعة البشرية ,خاف,الخوف,Fear,أن أصبح ذات علم بالطبيعة البشرية
106, إنني  [MASK]   من اجل القتلة  لأنه ليس من السهل على الإنسان ان تتشوه نفسه إلى درجة ان يصبح قاتلا,حزين,الحزن,Sadness,ليس من السهل على الإنسان ان تتشوه نفسه
107, إنني أفضل النوم على مقعد خشبي في حديقة بدلا من الإقامة في هذا المبنى ال [MASK]  ,قزز,الاشمئزاز,Disgust,الإقامة في هذا المبنى
108, إنه يحرك الإدرينالين فينا يدعنا  [MASK]   لانتهاك حرمات الله نغار على من نحبهم إذا عصوا الله,غضب,الغضب,Anger,انتهاك حرمات الله
109, إنها شجاعة حقا  [MASK]   بقراءتي للكتاب,سعيد,الفرح,Joy,قراءتي للكتاب
110, إنها لحظة  [MASK]  ، لحظة انعدام السيطرة التي تجعل من كل هذه الشخصيات المرسومة شخصية واحدة,غضب,الغضب,Anger,انعدام السيطرة 
111, إنى لأنظر فى المراه كل يوم  [MASK]   أن يكون قد اسود وجهى,خاف,الخوف,Fear,أن يكون قد اسود وجهى
112, إني  [MASK]   التورط فيك فقد علمتني التجارب أن أتجنب عشق الروايات,خاف,الخوف,Fear,التورط فيك
113, إهمال نظافة العامة للفندق اصباني ب [MASK]  ,الاشمئزاز,الاشمئزاز,Disgust,إهمال نظافة العامة للفندق
114, ابنه  [MASK]   الصغير برؤيته,فرح,الفرح,Joy,برؤيته
115, اتفهم  [MASK]   بعض قراء الدكتور من الرواية. ليست الرواية المنتظرة من دكتور أحمد,غضب,الغضب,Anger,ليست الرواية المنتظرة
116, اثارت  [MASK]   الكثيرين بعد مقتل عمها و ابو زوجها,حنق,الغضب,Anger,مقتل عمها و ابو زوجها
117, اثرت بي ندى و [MASK]   عليها هي ربما كون الرواية مستمدة من قصة واقعية,حزن,الحزن,Sadness,لرواية مستمدة من قصة واقعية
118, اجلت قراءتها كتير  [MASK]   منها بسبب آراء من سبق وقرأها ولم تعجبهم,خوف,الخوف,Fear,آراء من سبق وقرأها
119, احسست ب [MASK]   علي جليلة المرأة التي عندما ماتت اتهمت بالهروب من القبر,حزن,الحزن,Sadness,عندما ماتت اتهمت بالهروب من القبر
120, احسست ب [MASK]   من بعض التفاصيل اللي ذكرت بسبب خيالي الواسع,اشمئزاز,الاشمئزاز,Disgust,التفاصيل اللي ذكرت
121, احمد خالد  [MASK]   الملل وان يعيد ما كان قد قدمه وان يكتب فقط لمجرد الكتابة,خاف,الخوف,Fear,الملل
122, احيانا  [MASK]  ك عدم قدرتك على الصراخ من الكابوس,فزع,الخوف,Fear,عدم قدرتك على الصراخ
123, اختفى الرئيس وحاشيته  [MASK]   لكن استمرت الحياة طبيعية وكأن شيئا لك يكن,فجأة,المفاجأة,Surprise,اختفى الرئيس وحاشيته
124, اخذ  [MASK]   مساحة كبيرة من حجم الرواية للمعاناة و المآسي التي لاقتها وعد في حياتها كطفلة,حزن,الحزن,Sadness,للمعاناة و المآسي التي لاقتها وعد
125, اذكر جيدا جو  [MASK]   الشاسع بهآ واذكر جيدا كمية الدموع اللتي همرتها تاثرا بمآ كتبت,حزن,الحزن,Sadness,تاثرا بمآ كتبت
126, ارتديت الحجاب فوجدت نفسي  [MASK]   مغطاة لا يظهر مني شيء,فجأة,المفاجأة,Surprise,مغطاة لا يظهر مني شيء
127, ارى انه يمكن ان يكون العمل الادبي جيدا من دون اضافة الشتائم والالفاظ الخارجة ال [MASK]  ,قزز,الاشمئزاز,Disgust,اضافة الشتائم والالفاظ الخارجة
128, اريد أن القي كل  [MASK]   على الكاتب ... هو يتحدث عن بلد جل ما يصل الينا منها قضايا شائكة,حنق,الغضب,Anger,تحدث عن بلد جل ما يصل الينا منها قضايا شائكة
129, اريدك أن تشعر ب [MASK]  على حال بلدك ..أريد للدم أن يجري ساخنا في عروقك,غضب,الغضب,Anger,حال بلدك
130, استخدمت الكاتبة العامية في البداية ثم تغيرت للفصحى  [MASK]   لتصبح هي لهجتهم الأصلية,فجأة,المفاجأة,Surprise,استخدمت الكاتبة العامية في البداية ثم تغيرت للفصحى
131, استشهاد الكاتب بحكايات عن الآلهة الإناث كان  [MASK]   جدا لا ارى اي قدسية للرجل,قزز,الاشمئزاز,Disgust,استشهاد الكاتب بحكايات عن الآلهة الإناث
132, استعرض الكاتب  [MASK]   لطيفة من عمليات التجميل,خوف,الخوف,Fear,عمليات التجميل
133, استفزتني كلمة فضائح في المقدمه و [MASK]  ني دائما في المجتمعات المغلقه كلمة بنت =كلمة فضيحه,غضب,الغضب,Anger,كلمة فضائح في المقدمه
134, استفزني ضعفها و [MASK]  ني كثيرا,غضب,الغضب,Anger,ضعفها
135, استمتعت بكل جزء منها وعشته تمنيت لو أنها لم تنتهي ..  [MASK]   لأنني حظيت بقراءتها,سعيد,الفرح,Joy,حظيت بقراءتها
136, اسرة الطاروف لم تتقبل حفيدها  [MASK]   من الفضيحة وان يتعفن نسب الاسرة,خوف,الخوف,Fear,الفضيحة وان يتعفن نسب الاسرة
137, اسلوب متدني  [MASK]   لدرجة كبيرة حقا ندمت على شرائها و انصح الجميع بعدم شرائها و قرائتها,قزز,الاشمئزاز,Disgust,اسلوب متدني
138, اشعر ب [MASK]   على فرانز الذي لم يكتب له الحياة طويلا لرؤية النجاح الكبير الذي حققه,حزن,الحزن,Sadness,م يكتب له الحياة طويلا
139, اشعر ب [MASK]   لتردى مستوى المطعم وانحداره وقد اتخذت قرارا بعدم زيارته مره اخرى,حزن,الحزن,Sadness,تردى مستوى المطعم وانحداره
140, اشعر ب [MASK]   من قرأته لأنه سيؤدي بي إلى فضاء مغلق و رمادي,خوف,الخوف,Fear,سيؤدي بي إلى فضاء مغلق
141, اشعر بأني خرجت من بين طيات الكتاب مشبعا بالايجابية وقد اعتراني  [MASK]  ,فرح,الفرح,Joy,خرجت من بين طيات الكتاب مشبعا بالايجابية
142, اصابني  [MASK]   عندما كنت بداخل الصفحات فكيف تعيش شيئا و تحاول أن تنساه,حزن,الحزن,Sadness,كيف تعيش شيئا و تحاول أن تنساه
143, اصبحت  [MASK]   من غبائى,غاضب,الغضب,Anger,غبائى
144, اصبحت كتبها تشعرني ب [MASK]   لا اصدق كل هذا الظلم الذي تتعرض له المراة والاطفال بسبب التقاليد العادات و الجهل,غضب,الغضب,Anger,الظلم الذي تتعرض له المراة والاطفال
145, اضحكني كثيرا وانهي الكتاب بنظرة تفائلية جعلتني اشعر ب [MASK]   والحماس وبساطة الحياة,فرح,الفرح,Joy,انهي الكتاب بنظرة تفائلية
146, اضن ان سنوات سجنها الستة عشر ستجعل منها سيدة متمردة  [MASK]  ,غاضب,الغضب,Anger,سنوات سجنها الستة عشر
147, اعتبره من اروع الكتاب العرب على الاطلاق اقرا له سطرا ف [MASK]   به عاما,فرح,الفرح,Joy,من اروع الكتاب العرب على الاطلاق
148, اعيب على الرواية التحرر المفرط واللا موضعية جعلتنى اشعر ب [MASK]   تجاه الكاتب,اشمئزاز,الاشمئزاز,Disgust,التحرر المفرط واللا موضعية
149, اقترنت الرواية  باسم نجيب الكيلاني، لكن  [MASK]   انها ليست أدبا ولا تمت إلى الدين الإسلامي بصلة,فاجأ,المفاجأة,Surprise,ليست أدبا ولا تمت إلى الدين الإسلامي بصلة
150, اقحام الكاتب المشاهد الدموية بشكل مبالغ فيه ، و  [MASK]   و مبتذل بشكل خيالي,قزز,الاشمئزاز,Disgust,اقحام الكاتب المشاهد الدموية بشكل مبالغ فيه
151, اكتشفوا مؤامراتهم ف [MASK]   لسقوطهم لأنهم يريدون أن يسلبوا من العامة نعمة الطمأنينية,فرح,الفرح,Joy,سقوطهم
152, اكثر شيء  [MASK]   منه كبشر هو الموت,خاف,الخوف,Fear,الموت
153, اكثر ما  [MASK]   له عندما تجد أخوك يتعاون مع عدوك ليقتلولك,حزن,الحزن,Sadness,أخوك يتعاون مع عدوك ليقتلولك
154, ال [MASK]   في القصة هو هذه السلسة المتداخلة من الأطفال غير الشرعيين في العائلة,قزز,الاشمئزاز,Disgust,السلسة المتداخلة من الأطفال غير الشرعيين
155, الأحداث مليئة ب [MASK]   والحسرة ، فالأختين الكبيرتين أصبحتا خادمتين,حزن,الحزن,Sadness,الأختين الكبيرتين أصبحتا خادمتين
156, الأخ الأكبر  [MASK]   حينما سمع كلام أخيه,فرح,الفرح,Joy,سمع كلام أخيه
157, الأستاذ محمد قطب رحمه الله  [MASK] ني  الحديث عنه في الكتاب جدا,اسعد,الفرح,Joy,الحديث عنه في الكتاب
158, الأسد  [MASK]  كثيرًا بالوجبة الدسمة,ابتهج,الفرح,Joy,الوجبة الدسمة
159,  انتحال شخصية الآخرين يشعرنني ب [MASK]  ,اشمئزاز,الاشمئزاز,Disgust,انتحال شخصية الآخرين
160, استخدام الطرق الغير قانونية لتحقيق أهدافهم يثيرون  [MASK]   في نفسي,اشمئزاز,الاشمئزاز,Disgust,استخدام الطرق الغير قانونية
161, الأصدقاء الذين يسرقون و يكذبون وأشياء من هذا القبيل، هذا أمر غير مبرر و مثير ل [MASK] ,الاشمئزاز,الاشمئزاز,Disgust,الأصدقاء الذين يسرقون و يكذبون
162, الأكثر  [MASK]   من العمي .. هو أن تكون الوحيد الذي يرى,رعب,الخوف,Fear,أن تكون الوحيد الذي يرى
163, الأمر صعب  [MASK]   كثيرا عندما عرفت باحجام أديب نوبل عن كتابة سيرته الذاتية,حزن,الحزن,Sadness,احجام أديب نوبل عن كتابة سيرته الذاتية
164, الأمير  [MASK]   حين سمع هذا الكلام الخطير,فزع,الخوف,Fear,سمع هذا الكلام الخطير
165, الأمير  [MASK]   عند رؤية شقيقيه,ابتهج,الفرح,Joy,رؤية شقيقيه
166, الأوساخ المتراكمة في كل الأماكن تثير [MASK]  ,الاشمئزاز,الاشمئزاز,Disgust,الأوساخ المتراكمة
167, الأوساخ متراكمة في كل مكان من المطعم كان مثيرة ل [MASK]  ,الاشمئزاز,الاشمئزاز,Disgust,الأوساخ متراكمة في كل مكان
